ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CATEGORY,SUBCATEGORY,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PAYMENTFULLNAME
10369,41,100,2,4514.92,1/20/2005,Shipped,1,1,2005,Classic Cars,214,S10_1949,Furniture,Desk,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,NA,Nelson,Allen,Medium,Nelson Allen
10381,36,100,3,8254.8,2/17/2005,Shipped,1,2,2005,Classic Cars,214,S10_1949,Furniture,Desk,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Large,Brown Julie
10391,24,100,4,2416.56,3/9/2005,Shipped,1,3,2005,Classic Cars,214,S10_1949,Furniture,Desk,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,O'Hara Anna
10411,23,100,9,4140.23,5/1/2005,Shipped,2,5,2005,Classic Cars,214,S10_1949,Furniture,Desk,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,NA,Fresnisre,Jean,Medium,Fresnisre Jean
10424,50,100,6,12001,5/31/2005,In Process,2,5,2005,Classic Cars,214,S10_1949,Furniture,Desk,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,Freyre Diego
10107,39,99.91,5,3896.49,2/24/2003,Shipped,1,2,2003,Motorcycles,118,S10_2016,Furniture,Chair,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,Yu Kwai
10120,29,96.34,3,2793.86,4/29/2003,Shipped,2,4,2003,Motorcycles,118,S10_2016,Furniture,Chair,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,Ferguson Peter
10134,27,100,5,3307.77,7/1/2003,Shipped,3,7,2003,Motorcycles,118,S10_2016,Furniture,Chair,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium,DaCunha Daniel
10145,37,100,9,5192.95,8/25/2003,Shipped,3,8,2003,Motorcycles,118,S10_2016,Furniture,Chair,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium,Young Julie
10159,37,100,17,5016.83,10/10/2003,Shipped,4,10,2003,Motorcycles,118,S10_2016,Furniture,Chair,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium,Brown Julie
10168,27,100,4,3660.93,10/28/2003,Shipped,4,10,2003,Motorcycles,118,S10_2016,Furniture,Chair,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,Hirano Juri
10180,42,100,12,4695.6,11/11/2003,Shipped,4,11,2003,Motorcycles,118,S10_2016,Furniture,Chair,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Medium,Rance Martine
10188,38,96.34,4,3660.92,11/18/2003,Shipped,4,11,2003,Motorcycles,118,S10_2016,Furniture,Chair,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,Oeztan Veysel
10201,24,100,5,3025.92,12/1/2003,Shipped,4,12,2003,Motorcycles,118,S10_2016,Furniture,Chair,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Medium,Murphy Julie
10210,23,100,2,3009.09,1/12/2004,Shipped,1,1,2004,Motorcycles,118,S10_2016,Furniture,Chair,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,Kentary Mory
10223,47,100,4,5422.39,2/20/2004,Shipped,1,2,2004,Motorcycles,118,S10_2016,Furniture,Chair,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,Ferguson Peter
10236,22,100,1,2852.08,4/3/2004,Shipped,2,4,2004,Motorcycles,118,S10_2016,Furniture,Chair,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,NA,Hernandez,Rosa,Small,Hernandez Rosa
10251,44,100,5,5756.52,5/18/2004,Shipped,2,5,2004,Motorcycles,118,S10_2016,Furniture,Chair,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Medium,Brown William
10263,40,100,5,4472,6/28/2004,Shipped,2,6,2004,Motorcycles,118,S10_2016,Furniture,Chair,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Medium,King Julie
10275,22,100,4,2904.44,7/23/2004,Shipped,3,7,2004,Motorcycles,118,S10_2016,Furniture,Chair,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small,Labrune Janine
10285,47,100,9,6484.59,8/27/2004,Shipped,3,8,2004,Motorcycles,118,S10_2016,Furniture,Chair,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium,Hernandez Marta
10298,39,96.34,1,3757.26,9/27/2004,Shipped,3,9,2004,Motorcycles,118,S10_2016,Furniture,Chair,Atelier graphique,40.32.2555,"54, rue Royale",,Nantes,,44000,France,EMEA,Schmitt,Carine,Medium,Schmitt Carine
10308,34,100,2,4043.96,10/15/2004,Shipped,4,10,2004,Motorcycles,118,S10_2016,Furniture,Chair,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve,Medium,Frick Steve
10318,45,100,4,5566.5,11/2/2004,Shipped,4,11,2004,Motorcycles,118,S10_2016,Furniture,Chair,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium,Yu Kyung
10329,20,100,2,3176,11/15/2004,Shipped,4,11,2004,Motorcycles,118,S10_2016,Furniture,Chair,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,Yu Kwai
10339,40,68.92,4,2756.8,11/23/2004,Shipped,4,11,2004,Motorcycles,118,S10_2016,Furniture,Chair,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,Shimamura Akiko
10361,26,51.15,8,1329.9,12/17/2004,Shipped,4,12,2004,Motorcycles,118,S10_2016,Furniture,Chair,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,Huxley Adrian
10374,39,100,5,5288.01,2/2/2005,Shipped,1,2,2005,Motorcycles,118,S10_2016,Furniture,Chair,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,Calaghan Tony
10388,50,44.51,5,2225.5,3/3/2005,Shipped,1,3,2005,Motorcycles,118,S10_2016,Furniture,Chair,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Small,Benitez Violeta
10402,45,100,1,5833.8,4/7/2005,Shipped,2,4,2005,Motorcycles,118,S10_2016,Furniture,Chair,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium,Perrier Dominique
10417,45,100,5,5887.35,5/13/2005,Disputed,2,5,2005,Motorcycles,118,S10_2016,Furniture,Chair,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,Freyre Diego
10107,27,100,4,6065.55,2/24/2003,Shipped,1,2,2003,Motorcycles,193,S10_4698,Furniture,Bookshelf,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,Yu Kwai
10120,46,100,2,9264.86,4/29/2003,Shipped,2,4,2003,Motorcycles,193,S10_4698,Furniture,Bookshelf,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,Ferguson Peter
10134,31,100,4,7023.98,7/1/2003,Shipped,3,7,2003,Motorcycles,193,S10_4698,Furniture,Bookshelf,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Large,DaCunha Daniel
10145,33,100,8,5176.38,8/25/2003,Shipped,3,8,2003,Motorcycles,193,S10_4698,Furniture,Bookshelf,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium,Young Julie
10159,22,100,16,4132.7,10/10/2003,Shipped,4,10,2003,Motorcycles,193,S10_4698,Furniture,Bookshelf,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium,Brown Julie
10168,20,100,3,4183,10/28/2003,Shipped,4,10,2003,Motorcycles,193,S10_4698,Furniture,Bookshelf,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,Hirano Juri
10180,41,100,11,8892.9,11/11/2003,Shipped,4,11,2003,Motorcycles,193,S10_4698,Furniture,Bookshelf,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Large,Rance Martine
10188,45,100,3,8714.7,11/18/2003,Shipped,4,11,2003,Motorcycles,193,S10_4698,Furniture,Bookshelf,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Large,Oeztan Veysel
10201,49,100,4,8065.89,12/1/2003,Shipped,4,12,2003,Motorcycles,193,S10_4698,Furniture,Bookshelf,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Large,Murphy Julie
10210,34,100,1,6123.4,1/12/2004,Shipped,1,1,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,Kentary Mory
10223,49,100,3,9774.03,2/20/2004,Shipped,1,2,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,Ferguson Peter
10237,39,100,9,7023.9,4/5/2004,Shipped,2,4,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Large,Frick Michael
10251,43,100,4,7078.23,5/18/2004,Shipped,2,5,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Large,Brown William
10263,41,100,4,8336.94,6/28/2004,Shipped,2,6,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Large,King Julie
10275,36,100,3,6901.92,7/23/2004,Shipped,3,7,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium,Labrune Janine
10285,27,100,8,5438.07,8/27/2004,Shipped,3,8,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium,Hernandez Marta
10299,29,100,11,6683.34,9/30/2004,Shipped,3,9,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium,Karttunen Matti
10308,20,100,1,4570.4,10/15/2004,Shipped,4,10,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve,Medium,Frick Steve
10318,37,100,3,7667.14,11/2/2004,Shipped,4,11,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Large,Yu Kyung
10329,26,100,3,5868.2,11/15/2004,Shipped,4,11,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,Yu Kwai
10339,39,76.67,3,2990.13,11/23/2004,Shipped,4,11,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,Shimamura Akiko
10362,22,100,4,3664.1,1/5/2005,Shipped,1,1,2005,Motorcycles,193,S10_4698,Furniture,Bookshelf,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,Hirano Juri
10374,22,100,1,3834.38,2/2/2005,Shipped,1,2,2005,Motorcycles,193,S10_4698,Furniture,Bookshelf,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,Calaghan Tony
